EntityName,CIK,End,Assets_Millions,Liabilities_Millions,Equity_Millions,AssetToLiabilityRatio,DebtToEquityRatio,Quarter
THE BOEING COMPANY,12927,2014-12-31,489713.0,0.0,43325.0,,0.0,Q4-2014
THE BOEING COMPANY,12927,2015-03-31,97775.0,0.0,7906.0,,0.0,Q1-2015
THE BOEING COMPANY,12927,2015-06-30,98102.0,0.0,6264.0,,0.0,Q2-2015
THE BOEING COMPANY,12927,2015-09-30,98998.0,0.0,6740.0,,0.0,Q3-2015
THE BOEING COMPANY,12927,2015-12-31,472040.0,0.0,31675.0,,0.0,Q4-2015
THE BOEING COMPANY,12927,2016-03-31,91547.0,0.0,4043.0,,0.0,Q1-2016
THE BOEING COMPANY,12927,2016-06-30,89609.0,0.0,585.0,,0.0,Q2-2016
THE BOEING COMPANY,12927,2016-09-30,88950.0,0.0,2089.0,,0.0,Q3-2016
THE BOEING COMPANY,12927,2016-12-31,449985.0,0.0,4085.0,,0.0,Q4-2016
THE BOEING COMPANY,12927,2017-03-31,89673.0,0.0,95.0,,0.0,Q1-2017
THE BOEING COMPANY,12927,2017-06-30,90036.0,0.0,-2037.0,,,Q2-2017
THE BOEING COMPANY,12927,2017-09-30,91007.0,0.0,1086.0,,0.0,Q3-2017
THE BOEING COMPANY,12927,2017-12-31,541781.0,0.0,6979.0,,0.0,Q4-2017
THE BOEING COMPANY,12927,2018-03-31,113549.0,0.0,1222.0,,0.0,Q1-2018
THE BOEING COMPANY,12927,2018-06-30,113195.0,0.0,-1441.0,,,Q2-2018
THE BOEING COMPANY,12927,2018-09-30,114659.0,0.0,-1289.0,,,Q3-2018
THE BOEING COMPANY,12927,2018-12-31,586795.0,0.0,1695.0,,0.0,Q4-2018
THE BOEING COMPANY,12927,2019-03-31,120209.0,0.0,125.0,,0.0,Q1-2019
THE BOEING COMPANY,12927,2019-06-30,126261.0,0.0,-5322.0,,,Q2-2019
THE BOEING COMPANY,12927,2019-09-30,132598.0,0.0,-4116.0,,,Q3-2019
THE BOEING COMPANY,12927,2019-12-31,668125.0,567700.0,-43085.0,1.18,,Q4-2019
THE BOEING COMPANY,12927,2020-03-31,143075.0,152435.0,-9665.0,0.94,,Q1-2020
THE BOEING COMPANY,12927,2020-06-30,162872.0,174254.0,-11667.0,0.93,,Q2-2020
THE BOEING COMPANY,12927,2020-09-30,161261.0,172814.0,-11821.0,0.93,,Q3-2020
THE BOEING COMPANY,12927,2020-12-31,760680.0,851055.0,-91580.0,0.89,,Q4-2020
THE BOEING COMPANY,12927,2021-03-31,150035.0,167876.0,-18058.0,0.89,,Q1-2021
THE BOEING COMPANY,12927,2021-06-30,148935.0,165420.0,-16682.0,0.9,,Q2-2021
THE BOEING COMPANY,12927,2021-09-30,146846.0,161112.0,-14440.0,0.91,,Q3-2021
THE BOEING COMPANY,12927,2021-12-31,692760.0,766990.0,-74995.0,0.9,,Q4-2021
THE BOEING COMPANY,12927,2022-03-31,135801.0,151069.0,-15398.0,0.9,,Q1-2022
THE BOEING COMPANY,12927,2022-06-30,135479.0,150270.0,-14888.0,0.9,,Q2-2022
THE BOEING COMPANY,12927,2022-09-30,137558.0,155193.0,-17699.0,0.89,,Q3-2022
THE BOEING COMPANY,12927,2022-12-31,548400.0,611792.0,-63532.0,0.9,,Q4-2022
THE BOEING COMPANY,12927,2023-03-31,136347.0,151831.0,-15508.0,0.9,,Q1-2023
THE BOEING COMPANY,12927,2023-06-30,134774.0,150267.0,-15517.0,0.9,,Q2-2023
THE BOEING COMPANY,12927,2023-09-30,134281.0,150998.0,-16729.0,0.89,,Q3-2023
